GEOID,NAME,mean_noise,max_noise,min_noise
06067009650,96.50,54.97520570728291,77.78946685791016,45.00510787963867
06067008803,88.03,52.181813190261046,72.26599884033203,45.02836608886719
06067009333,93.33,56.55878751240079,75.09336853027344,45.0528564453125
06067004018,40.18,51.80750536736641,57.27866744995117,45.14813232421875
06067004017,40.17,50.89974832214765,58.29496765136719,45.118831634521484
06067004908,49.08,56.2234749251497,73.1910629272461,45.13351058959961
06067007023,70.23,58.25280814109442,73.4615707397461,45.056922912597656
06067007439,74.39,53.14070099708171,71.6790771484375,45.00099182128906
06067008601,86.01,58.82982093383312,76.60105895996094,45.01470184326172
06067004301,43.01,53.74888392857143,73.02980041503906,45.06640625
06067001202,12.02,56.56960409195697,70.44147491455078,45.039268493652344
06067001701,17.01,58.77013499009247,87.13238525390625,45.02836608886719
06067004020,40.20,54.768502631929636,78.04139709472656,45.05014419555664
06067004302,43.02,57.01854588963964,85.18382263183594,45.03791046142578
06067009642,96.42,56.8131355406746,73.38456726074219,45.083953857421875
06067006704,67.04,57.789490286227874,85.44564056396484,45.039268493652344
06067007024,70.24,55.345541779891306,73.4615707397461,45.09067916870117
06067009644,96.44,54.46607666015625,73.54300689697266,45.03791046142578
06067009410,94.10,59.83033158396947,84.4715805053711,45.00373840332031
06067007025,70.25,55.316231863839285,79.73174285888672,45.0064811706543
06067004604,46.04,55.644703975340136,75.90730285644531,45.00785446166992
06067007026,70.26,52.478625105100896,69.32169342041016,45.0064811706543
06067007110,71.10,51.2453125,58.7592887878418,45.09202575683594
06067009334,93.34,55.8323233596041,75.48143768310547,45.00510787963867
06067009646,96.46,50.600337658898304,61.73768997192383,45.01333236694336
06067008707,87.07,55.437733656058285,67.14497375488281,45.063697814941406
06067008708,87.08,56.75839785793769,74.8826904296875,45.01606750488281
06067007108,71.08,59.69793953028973,86.53308868408203,45.00510787963867
06067009651,96.51,54.66706799372146,70.9201889038086,45.00922393798828
06067007436,74.36,52.54418721330275,58.67702865600586,45.16006088256836
06067004907,49.07,52.6297265625,66.64547729492188,45.393272399902344
06067007028,70.28,58.97118735172005,86.89398193359375,45.00510787963867
06067004910,49.10,56.74282195461783,73.46548461914062,45.02973175048828
06067005003,50.03,57.23119860197368,76.2736587524414,45.010589599609375
06067007022,70.22,60.98060030764249,85.7691650390625,45.07181167602539
06067009641,96.41,57.25335009108744,86.46208190917969,45.02700424194336
06067009645,96.45,59.7472930372807,84.320068359375,45.09739685058594
06067004909,49.09,57.20051457331731,80.80626678466797,45.0324592590332
06067008706,87.06,56.045659572169406,83.60971069335938,45.00099182128906
06067008602,86.02,56.06308714245653,76.60105895996094,45.00099182128906
06001440337,4403.37,57.65808459762533,73.60782623291016,45.07855987548828
06001440338,4403.38,58.688913878367,74.67459869384766,45.13217544555664
06001451103,4511.03,53.69730197110676,74.12628936767578,45.00373840332031
06001432602,4326.02,56.472814162234044,76.93463134765625,45.04335021972656
06001451104,4511.04,56.90416666666667,88.20332336425781,45.00099182128906
06001441928,4419.28,56.2518310546875,76.43354034423828,45.035179138183594
06001441929,4419.29,53.701159434713375,70.59563446044922,45.0419921875
06001441701,4417.01,59.33950463598901,87.30701446533203,45.13750076293945
06001444304,4443.04,53.10107098509934,69.3409423828125,45.01333236694336
06001441525,4415.25,59.65633707430341,86.23558807373047,45.00922393798828
06001436301,4363.01,56.169683159722226,74.1946029663086,45.086639404296875
06001450400,4504,58.771394611727416,86.82506561279297,45.00099182128906
06037186401,1864.01,59.435620577830186,86.32254791259766,45.00099182128906
06113011304,113.04,55.67745679045377,77.11470031738281,45.044708251953125
06113010609,106.09,52.99146889740566,68.71456146240234,45.01880645751953
06113010611,106.11,53.61975613446303,66.90992736816406,45.06504821777344
06113011302,113.02,53.40872923085387,71.2155990600586,45.06098937988281
06113011211,112.11,52.229612188824156,60.770042419433594,45.28916931152344
06113010314,103.14,48.2697878370098,52.359371185302734,45.032047271728516
06113011207,112.07,54.97593572331017,74.6864242553711,45.0064811706543
06113011210,112.10,53.12769752358491,67.4311752319336,45.02290725708008
06113011209,112.09,57.3612035472973,82.63873291015625,45.00373840332031
06113011303,113.03,51.11425083705357,71.2155990600586,45.083953857421875
06037197200,1972,63.06353252079482,89.37567901611328,45.07720947265625
06037197300,1973,56.43504783865639,75.29686737060547,45.055572509765625
06039000511,5.11,54.41846769957983,77.38066864013672,45.03791046142578
06039000110,1.10,56.18609675036927,74.91781616210938,45.00099182128906
06039000517,5.17,54.84921775223499,84.587890625,45.00510787963867
06039000901,9.01,54.42070527129121,72.0493392944336,45.040626525878906
06039000802,8.02,59.30268702651515,85.65847778320312,45.04606628417969
06039000801,8.01,55.014917398336415,77.99478149414062,45.040626525878906
06039000903,9.03,50.8209148656542,71.10253143310547,45.0542106628418
06039000516,5.16,50.920785984848486,61.35132598876953,45.01606750488281
06039000515,5.15,55.26650789411206,84.06199645996094,45.01606750488281
06031000402,4.02,56.30784973521624,80.7700424194336,45.00785446166992
06031001601,16.01,55.97749341672153,85.3364486694336,45.00099182128906
06031001300,13,51.718234577922075,67.83260345458984,45.00922393798828
06031000200,2,55.61124289512284,77.72248077392578,45.00099182128906
06031000100,1,56.11545344102968,79.91181945800781,45.00236511230469
06045010601,106.01,57.41642775229358,76.22213745117188,45.00785446166992
06031001200,12,53.90200642944241,80.39017486572266,45.00099182128906
06045011003,110.03,55.25340230026195,69.82723236083984,45.00510787963867
06045011004,110.04,54.30779612575421,69.82180786132812,45.00099182128906
06031000403,4.03,52.475572650935376,66.83407592773438,45.138832092285156
06045010602,106.02,55.90597764304661,72.82622528076172,45.00099182128906
06045011502,115.02,57.45156808534406,80.49605560302734,45.00510787963867
06045011501,115.01,49.850565159574465,58.85078430175781,45.01333236694336
06001441702,4417.02,56.79481724330357,70.75911712646484,45.24006271362305
06001433801,4338.01,59.34616408150852,84.55757904052734,45.118831634521484
06001433802,4338.02,58.564453125,89.05201721191406,45.04878616333008
06001436302,4363.02,53.56670851934524,64.56973266601562,45.02290725708008
06001436403,4364.03,55.20735497237569,74.94989013671875,45.04335021972656
06001436404,4364.04,50.90403053977273,63.072818756103516,45.06098937988281
06001442502,4425.02,55.011381172839506,70.97604370117188,45.06504821777344
06001442501,4425.01,53.664721593418726,72.3603286743164,45.00373840332031
06001450609,4506.09,58.5085018382353,86.0184326171875,45.011962890625
06001450608,4506.08,58.189158048561154,84.11451721191406,45.00236511230469
06001444303,4443.03,58.09996490839244,81.55032348632812,45.01606750488281
06001432601,4326.01,55.15478707107843,76.93463134765625,45.01470184326172
06001403401,4034.01,54.81593729386544,72.30704498291016,45.0064811706543
06001403402,4034.02,54.178617436835104,68.97132110595703,45.3071174621582
06001403302,4033.02,56.66629681420233,87.4873046875,45.086639404296875
06001982100,9821,55.74635367157795,72.13252258300781,45.06098937988281
06001420302,4203.02,62.64329351380814,86.04010009765625,45.01606750488281
06001402801,4028.01,57.93861428285256,83.56599426269531,45.10410690307617
06001402802,4028.02,54.412801106770836,68.93983459472656,45.06910705566406
06001420401,4204.01,56.72367219002016,73.95850372314453,45.22052764892578
06001403301,4033.01,59.15800123948317,87.72322082519531,45.025634765625
06001422902,4229.02,55.81097935267857,72.13252258300781,45.011962890625
06001422901,4229.01,52.902994791666664,69.15293884277344,45.035179138183594
06001420402,4204.02,59.04519786005435,88.5672836303711,45.02700424194336
06001420301,4203.01,55.21460537647638,85.54798126220703,45.00099182128906
06037197410,1974.10,58.845634393328446,90.28164672851562,45.06098937988281
06047001603,16.03,55.20600020118026,72.1484375,45.04335021972656
06047000306,3.06,49.36303546348314,60.56523895263672,45.024269104003906
06007002402,24.02,51.854562104562106,62.93804168701172,45.00099182128906
06007002401,24.01,53.48087249414215,66.26032257080078,45.00099182128906
06007001601,16.01,54.58400684252281,67.00962829589844,45.011962890625
06007001602,16.02,55.16446345806014,73.79305267333984,45.00099182128906
06007000404,4.04,55.74104706228596,68.68408966064453,45.194339752197266
06007000403,4.03,54.98200631648936,69.82994842529297,45.07855987548828
06037197420,1974.20,59.01745393786127,82.127197265625,45.20745086669922
06037197500,1975,59.262757850985224,88.51808166503906,45.00510787963867
06037197600,1976,62.64108952702703,89.23451232910156,45.0324592590332
06037197700,1977,61.202689475574715,85.04334259033203,45.02973175048828
06031000405,4.05,56.34553657945737,79.68623352050781,45.03654479980469
06031000500,5,55.13528530895334,82.22716522216797,45.00373840332031
06031000602,6.02,52.013115461482556,69.71554565429688,45.0064811706543
06031000701,7.01,52.95982464028777,69.71554565429688,45.05149841308594
06031000702,7.02,53.956474836482556,71.7435073852539,45.167999267578125
06037199110,1991.10,57.39746907552083,76.00973510742188,45.04878616333008
06031000800,8,55.72723283931357,78.43295288085938,45.00373840332031
06037187102,1871.02,57.56334702998846,87.5974349975586,45.00373840332031
06037187200,1872,61.52458419067215,90.55377960205078,45.020172119140625
06037187300,1873,61.16305913830955,90.55377960205078,45.05149841308594
06053014110,141.10,56.986753027879345,81.80985260009766,45.00922393798828
06053014109,141.09,53.20618049119555,70.515380859375,45.0064811706543
06037670702,6707.02,53.2498134086189,74.93737030029297,45.01333236694336
06037670201,6702.01,56.63616513875124,76.6838607788086,45.00099182128906
