zcta,noise_mean_db,noise_max_db,noise_min_db,median_household_income,unemployment_rate,population,pnhwhite,pnhblack,phispanic,pforeign_born,punemployed,affluence,disadvantage,median_family_income,home_value,poverty_rate
90032,55.52474302925885,73.14613505497516,45.107841019200045,82292.0,57.5,44881.0,0.0890577286482,0.0218355208635,0.7473095655441,0.3669258654118,0.0929220691323,0.2916441261768,0.1827575862408,79304.0,808918.4820855893,10.2
90033,57.38789695898968,77.880752479115,45.07691303710658,59652.0,54.6,47655.0,0.02744727768,0.0153184346855,0.9043961763382,0.435694038868,0.0999105572701,0.1651934981346,0.3046879470348,57042.0,667752.7661739787,19.7
90034,57.53934328957654,79.42172061338492,45.05459804767095,105701.0,72.6,55061.0,0.3967599570751,0.0912624150515,0.2587312161922,0.3184468150139,0.0538798868656,0.5632736682892,0.1059601381421,108882.0,1454104.840202814,6.5
90035,55.279979177896024,73.13375297559524,45.06250719785758,105013.0,67.2,26595.0,0.6598608493805,0.0618161298335,0.1331453323364,0.2328633219004,0.0699917003512,0.624403655529,0.100727327168,138641.0,1630644.1715855636,7.2
90036,56.07606341288297,73.1499492197832,45.06725880971147,109785.0,69.8,37713.0,0.5542386174202,0.0613316372037,0.1364516168833,0.2605467736721,0.086079351604,0.6276656389236,0.0890742689371,133792.0,1867462.566632517,5.7
90037,57.59045284296748,79.33961210383741,45.04173141051798,57622.0,57.9,69064.0,0.0219651330262,0.1478049308062,0.7986649870872,0.4386076629162,0.0801663771272,0.1324463784695,0.3165901601315,54904.0,667930.7622412378,21.9
90038,56.31801369924618,79.46833691760621,45.049031692149896,61454.0,67.7,27979.0,0.3014403581619,0.0664426907897,0.5225347876549,0.3945101797581,0.0748755708337,0.3125499486923,0.2275853157043,62156.0,1049685.3955435564,15.4
90039,57.33445724693228,84.69561265215225,45.020114211304396,113818.0,66.1,28244.0,0.4176108241081,0.0155077185482,0.3111457228661,0.3111103177071,0.0629301294684,0.5735642313957,0.1055761575699,139219.0,1379946.4095703575,7.0
90040,58.68531271443628,87.81982670284123,45.012879893181456,74472.0,52.3,11839.0,0.0210321824998,0.0052369288169,0.9489821791649,0.3720753490925,0.0533261038363,0.1858732998371,0.2117942720652,72006.0,699448.4335656655,13.3
90041,55.109910872599386,74.52752187069393,45.0413634490344,114526.0,62.8,28321.0,0.3183150291443,0.0188199561089,0.3496345579624,0.3071219325066,0.0598893761635,0.5384576320648,0.1126813068986,133889.0,1293432.4977848905,5.6
90042,54.87375090514238,70.98468899297804,45.096948486517014,95282.0,63.0,59151.0,0.2215516269207,0.0192896146327,0.5778938531876,0.3583878576756,0.0884235203266,0.4130536019802,0.1482253521681,95888.0,1015295.7485113275,7.9
90043,55.34532280669373,73.68444310752407,45.0431031668213,64792.0,51.9,44461.0,0.0643710196018,0.5917545557022,0.2641416192055,0.1830593049526,0.1175518855453,0.3620011806488,0.2023229748011,89677.0,833114.2875552451,11.8
90044,57.991141898611644,81.05861084443607,45.06008738790841,53302.0,52.8,98990.0,0.0118698859587,0.3088695704937,0.6569754481316,0.3356096446514,0.1025477275252,0.1371293365955,0.3114878535271,56631.0,649172.5472427184,23.1
90045,56.49713032219581,78.0664115424417,45.022776339602515,135032.0,61.9,41123.0,0.4943462312222,0.0859373137355,0.1945383399725,0.1661600619555,0.0644167810678,0.638073682785,0.0742186754942,163095.0,1517996.7417370032,6.0
90046,55.11107638699003,73.7886990846253,45.12439894695775,96250.0,71.8,48170.0,0.6590201258659,0.0529375113547,0.1542869061232,0.2653311192989,0.0837738662958,0.5718794465065,0.1199695467949,119419.0,1478057.8400677198,6.1
90047,55.417610447635084,75.33639332602303,45.02850514692802,71664.0,54.2,52200.0,0.0240038316697,0.5018391013145,0.412490427494,0.1909003853798,0.0867171064019,0.2494899630547,0.2127317786217,82609.0,692851.3746488261,13.3
90048,56.96036102079384,75.83233870753703,45.04975501166591,103495.0,67.6,20411.0,0.7435696721077,0.0399294495583,0.0798099040985,0.2832296192646,0.0664795413613,0.6810346841812,0.1084679067135,167361.0,1784377.701800572,7.7
90049,57.259819587338235,79.93110000736216,45.07730481618008,170607.0,63.1,35819.0,0.7610206604004,0.0145453531295,0.0818559974432,0.1986375898123,0.0404084399343,0.7690784931183,0.047054708004,239856.0,3032602.3732106052,3.9
90050,54.91648536392405,72.314697265625,45.02973175048828,,,,,,,,,,,,,
90051,56.42578643070292,75.29173278808594,45.00922393798828,,,,,,,,,,,,,
90052,56.42578643070292,75.29173278808594,45.00922393798828,,,,,,,,,,,,,
90053,59.2847683630257,85.92731475830078,45.03791046142578,,,,,,,,,,,,,
90054,56.425786430702914,75.29173278808594,45.00922393798829,,,,,,,,,,,,,
90056,56.273511901295876,76.25703079235234,45.0350140626312,133048.0,64.1,8225.0,0.1123404279351,0.6266261339188,0.1118541061878,0.108085103333,0.0380036644638,0.6267881989479,0.0818691402674,160000.0,1686475.2717932996,10.4
90057,55.09503562288618,70.27974165468748,45.17724769811326,44823.0,57.9,47142.0,0.0575071051717,0.0645708739758,0.6815153956413,0.5518433451653,0.0669473856688,0.1764509230852,0.3066235780716,48009.0,562661.0855993574,21.4
90058,56.085983041121175,75.25570386182879,45.11503762942791,37557.0,57.0,3049.0,0.10757625103,0.1653001010418,0.6920301914215,0.3525746166706,0.0475297048688,0.1852452158928,0.4071391820908,38676.0,590746.0666382097,20.9
90059,57.69805361000535,80.36588607124735,45.04680260687351,56152.0,54.3,39471.0,0.0131742293015,0.2597349882126,0.6999569535255,0.2870715260506,0.1425553113222,0.1514215618372,0.3008523285389,56540.0,616395.7744430095,23.3
90060,56.42578643070292,75.29173278808594,45.00922393798828,,,,,,,,,,,,,
90061,58.453953760543,84.98082035699386,45.03993353543491,61046.0,54.7,28646.0,0.0141380997375,0.2635621130466,0.6936047077179,0.3134469091892,0.075465887785,0.1579460501671,0.2719005644321,63750.0,639490.7664406558,21.0
90062,55.500138088868134,74.42550213496943,45.04664267458988,67701.0,57.6,33528.0,0.0337329991162,0.2628549337387,0.6428955197334,0.3813827335835,0.073937907815,0.2089024931192,0.2147526741028,68952.0,698204.2751559807,14.3
90063,56.78880813646475,80.37197828770222,45.030378375061346,72942.0,56.4,52008.0,0.0313605591655,0.0036917396355,0.938990175724,0.4000730514526,0.0728915408254,0.1786142587662,0.1935501843691,71273.0,675448.3635551207,14.7
