tract_id,tract_name,noise_mean_db,noise_max_db,noise_min_db
6073021204,212.04,56.64631111391129,80.66697692871094,45.00510787963867
6073003207,32.07,59.13692022709777,84.1946029663086,45.01470184326172
6073019107,191.07,57.50431789517937,69.47825622558594,45.10008239746094
6073008347,83.47,51.006231398809526,57.996849060058594,45.00373840332031
6073005000,50.0,57.01303016726404,82.1298599243164,45.03382110595703
6073014803,148.03,58.8755202027845,86.10340881347656,45.01333236694336
6073003003,30.03,58.78236169038273,84.81729125976562,45.0064811706543
6073015802,158.02,51.85415943287037,61.723106384277344,45.13084411621094
6073013702,137.02,60.2707004372133,79.35305786132812,45.011962890625
6073017106,171.06,53.08496517027864,65.55699157714844,45.00510787963867
6073016902,169.02,55.26087918275418,77.92811584472656,45.00510787963867
6073017010,170.1,55.477472779977376,71.38302612304688,45.010589599609375
6073016811,168.11,53.925729005915635,79.10357666015625,45.00922393798828
6073008313,83.13,58.021338296398895,84.83016204833984,45.00236511230469
6073018700,187.0,59.145183517074486,86.6200180053711,45.00099182128906
6073019701,197.01,56.466467542447305,84.10945892333984,45.03382110595703
6073020708,207.08,58.50634338556851,85.89614868164062,45.02290725708008
6073020405,204.05,54.70559341755319,83.66049194335938,45.00099182128906
6073006801,68.01,61.19660941633598,81.9920654296875,45.00236511230469
6073009802,98.02,56.55531577797203,83.53146362304688,45.00099182128906
6073018801,188.01,50.70404877533784,63.3705940246582,45.02153778076172
6073013906,139.06,55.46133291794479,84.98587036132812,45.01743698120117
6073002301,23.01,58.861907520933016,75.89055633544922,45.03791046142578
6073002302,23.02,54.40951305220884,75.52667999267578,45.067752838134766
6073002401,24.01,58.29910392651297,85.04742431640625,45.03109359741211
6073002402,24.02,60.26442649147727,85.95716857910156,45.020172119140625
6073002501,25.01,64.31220703125,87.51663970947266,45.011962890625
6073002705,27.05,54.21709779251454,63.970703125,45.10679244995117
6073002707,27.07,55.22398529955621,74.12628936767578,45.063697814941406
6073002708,27.08,54.7828490497076,74.12460327148438,45.086639404296875
6073002709,27.09,55.17817107724472,65.05149841308594,45.10008239746094
6073003114,31.14,51.15485409007353,62.214141845703125,45.06640625
6073003115,31.15,51.74573529411765,64.81299591064453,45.01880645751953
6073001900,19.0,57.87377672697368,86.55426788330078,45.00236511230469
6073002001,20.01,60.00889780405405,86.67359161376953,45.07991027832031
