zcta,population,pnhwhite,pnhblack,phispanic,pforeign_born,punemployed,poverty_rate,affluence,disadvantage,median_family_income
42204,625,0.8655999898911,0.0432000011206,0.0640000030398,0.0640000030398,0.0877192988992,0.1840000003576,0.2055222094059,0.1321557462215,57245.0
42206,5531,0.9323811531067,0.0227806903422,0.01807991229,0.0095823537558,0.0765496641397,0.1481278538704,0.2114895433187,0.1580793261528,77969.0
42207,1043,0.9904122948647,0.0,0.0,0.0,0.0,0.1330097019672,0.1197205632925,0.1507480442524,42344.0
42210,4473,0.9588642716408,0.0002235636057,0.0205678511411,0.0024591996334,0.1158277764916,0.1890074163675,0.1712455153465,0.2481096088886,62292.0
42211,13081,0.8851769566536,0.0458680540323,0.0269857048988,0.0178885404021,0.0434308573604,0.1798799186945,0.2481869310141,0.1889097243547,66906.0
42214,542,0.8394833803177,0.0,0.0608856081963,0.0811808109283,0.096989966929,0.0600375235081,0.1531305611134,0.2262118607759,70417.0
42215,1618,0.7484548687935,0.2175525277853,0.0055624227971,0.0098887514323,0.0,0.1470223367214,0.2251418083906,0.1128336936235,85327.0
42217,3389,0.8846267461777,0.0365889631212,0.0298023018986,0.0153437592089,0.046395432204,0.1273264437914,0.1916113197803,0.1590287685394,65089.0
42220,6131,0.8639699816704,0.0538248233497,0.0503996089101,0.0288696791977,0.0338921286166,0.1310263723135,0.1950667649508,0.1570247113705,74946.0
42223,19617,0.558648109436,0.1244328916073,0.2379059046507,0.0547484308481,0.1667965650558,0.0869684666395,0.1740167438984,0.135657787323,57010.0
42232,786,0.9045801758766,0.0483460575342,0.0470737926662,0.0101781170815,0.0,0.1666666716337,0.34120246768,0.1374268978834,59444.0
42234,2514,0.6698488593102,0.2418456673622,0.068019092083,0.0302307084203,0.0963391140103,0.2653142511845,0.1860912442207,0.264893591404,54921.0
42236,752,0.7460106611252,0.065159574151,0.0,0.0,0.0,0.0,0.2995014190674,0.0051282052882,92019.0
42240,41788,0.6550205945969,0.2402125000954,0.0342921428382,0.0272087678313,0.0730487182736,0.1981096714735,0.2175237387419,0.2356144338846,59838.0
42254,196,0.9387755393982,0.0561224482954,0.0051020407118,0.0102040814236,0.0,0.1785714328289,0.179386138916,0.1300504207611,76250.0
42256,4611,0.9501192569733,0.0039037084207,0.0206029061228,0.008024290204,0.0249322485179,0.1450878381729,0.1459519863129,0.1552302539349,61265.0
42259,1179,0.9075487852097,0.0593723505735,0.0118744699284,0.0084817642346,0.1553030312061,0.2502120435238,0.172157227993,0.206078350544,59219.0
42261,9850,0.9296446442604,0.0,0.0467005074024,0.0325888320804,0.0513663962483,0.2086892277002,0.1702154427767,0.2502715587616,63646.0
42262,9441,0.5965469479561,0.2099353820086,0.121385447681,0.0188539344817,0.1160398572683,0.1384991556406,0.1551349312067,0.2555872797966,50019.0
42265,982,0.9236252307892,0.0763747468591,0.0,0.0,0.0,0.0869565233588,0.4669426679611,0.0731450542808,131897.0
42266,3251,0.717010140419,0.0913565084338,0.1313441991806,0.0110735157505,0.0201680678874,0.2001879662275,0.2347345799208,0.1915662735701,81554.0
42273,561,0.9839572310448,0.0,0.0,0.0,0.0,0.0447227209806,0.2225755751133,0.0641990825534,54290.0
42274,2593,0.9533358812332,0.0158118009567,0.0212109517306,0.0080987270921,0.0251730643213,0.0161974541843,0.2241467237473,0.0590725913644,95644.0
42275,859,0.9988358616829,0.0,0.0,0.0,0.0479616299272,0.2200232893229,0.1786436587572,0.250307649374,58477.0
42276,15942,0.8597415685654,0.0769037753344,0.0355664268136,0.0037636430934,0.0583817474544,0.1567886173725,0.1968361288309,0.1817735731602,71864.0
42280,439,1.0,0.0,0.0,0.0,0.0448979586363,0.3075170814991,0.2960259020329,0.2701344192028,102813.0
42285,535,0.9869158864021,0.0,0.0,0.0,0.0315315313637,0.3308411240578,0.2831525504589,0.384488016367,61250.0
42286,1884,0.9532908797264,0.0090233543888,0.0366242043674,0.0090233543888,0.0,0.4621938169003,0.3326522111893,0.2887755036354,75385.0
42301,45851,0.8362085819244,0.0666942894459,0.0302065387368,0.0392575934529,0.0394066870213,0.1452526450157,0.2803365886211,0.1792300641537,76220.0
42303,41608,0.864208817482,0.0384301096201,0.0470101907849,0.0345366261899,0.0400842800736,0.1554750055075,0.2655999064445,0.1619218289852,79407.0
42320,8913,0.8845506310463,0.0094244359061,0.073263771832,0.0557612478733,0.0558619052172,0.1634361743927,0.1827469319105,0.1816031783819,53653.0
42321,415,1.0,0.0,0.0,0.0,0.053846154362,0.1927710771561,0.2592013776302,0.162831261754,80875.0
42323,810,0.8740741014481,0.054320987314,0.0456790141761,0.0,0.0,0.1853785961866,0.1554243564606,0.1916044205427,50341.0
42324,1080,0.9657407402992,0.0,0.0,0.0,0.013671875,0.0555555559695,0.2590162754059,0.1140645891428,57159.0
42325,1565,0.9942492246628,0.0,0.0044728433713,0.001277955249,0.0957983210683,0.242172524333,0.1179751753807,0.2122114598751,60946.0
42326,305,1.0,0.0,0.0,0.0,0.0,0.1344262361526,0.0855855867267,0.1051952168345,75268.0
42327,4703,0.9485434889793,0.0138209657744,0.0295556019992,0.0085052093491,0.0374639779329,0.030709343031,0.2609272897244,0.0859479308128,86050.0
42328,1173,0.9300937652588,0.0008525149315,0.0,0.0136402389035,0.0286975726485,0.2225063890219,0.1782440543175,0.2443943619728,55000.0
42330,10184,0.9091712236404,0.0183621365577,0.0304399058223,0.0267085619271,0.0530303046107,0.1562532186508,0.1947069019079,0.1999546587467,64643.0
42333,760,0.9250000119209,0.065789476037,0.0092105260119,0.0,0.047846890986,0.1652542352676,0.0456592440605,0.2852120399475,36645.0
42337,1743,0.9208261370659,0.0458978787065,0.0200803205371,0.0,0.1065573766828,0.3270223736763,0.0649156048894,0.3358680009842,38080.0
42339,915,0.9639344215393,0.0,0.0,0.0,0.070381231606,0.1373873800039,0.1928006261587,0.1849377900362,49811.0
42343,1658,0.90349817276,0.0711700841784,0.017490953207,0.0,0.0609579086304,0.231155782938,0.0907821953297,0.2548986971378,45417.0
42344,1064,0.9736841917038,0.0,0.0,0.0,0.0788177326322,0.3582240045071,0.0338680930436,0.3047099709511,57054.0
42345,11091,0.9083942174912,0.0254260208458,0.0105490935966,0.0345325022936,0.0281613375992,0.1235543042421,0.3086037933826,0.1433346867561,83429.0
42347,5419,0.9577412605286,0.0027680383064,0.0252814181149,0.0221443064511,0.0321285128593,0.0921429917216,0.2201177328825,0.1454003751278,76420.0
42348,4986,0.9751303792,0.0064179701731,0.0056157242507,0.0030084236059,0.0463465563953,0.1279468089342,0.2098210453987,0.1560179591179,84732.0
