zcta,noise_mean_db,noise_max_db,noise_min_db
91204,56.72726343367537,78.55922700845207,45.03888051954276
91205,54.90344318696977,75.2564532219978,45.079037931257126
91206,55.36381010334735,79.89654133937732,45.0333070382972
91207,52.083191290442564,71.59944822642358,45.04690252614688
91208,55.79183882167256,78.16301147481757,45.01088289642527
91209,53.81351928710937,75.13350677490234,45.00510787963867
91210,57.27452772416865,77.33197021484375,45.063697814941406
91214,55.294929343671015,75.27080926808465,45.015158826129195
91221,57.24974938981869,89.42752075195312,45.011962890625
91222,51.38633805614407,74.21768188476562,45.01606750488281
91224,57.38951137609649,86.32659912109375,45.00373840332031
91225,56.871609462780896,76.83497619628906,45.05149841308594
91226,51.5031005859375,61.83838653564454,45.01333236694335
91301,60.85849552066809,85.66485350029566,45.00859802349104
91302,57.43315900933978,78.30025441103496,45.01782416283916
91303,55.876287531621735,75.29855557726117,45.04436470281784
91304,56.06506692292111,75.87159701053795,45.02451882785268
91305,57.93473249779152,76.61054992675781,45.070457458496094
91306,54.39457133077694,72.07700403443715,45.02788569018401
91307,53.39203647383348,68.49053222057098,45.02993642954074
91308,54.5318987732288,72.84881591796875,45.0064811706543
91309,57.76797081679894,77.02603149414062,45.02973175048828
91310,59.63049434007707,86.64923858642578,45.00236511230469
91311,56.51533754469305,78.29918038669531,45.03716784002814
91313,56.3380488739339,77.37431335449219,45.02290725708008
91316,56.666328737353986,81.00443824631644,45.03580726915753
91320,55.98414327523914,77.31603069607475,45.03784033488386
