zip_code,State,county_name,home_value
94588,CA,Alameda County,1442458.8797506178
95688,CA,Solano County,663723.8340827691
90301,CA,Los Angeles County,689184.5997586274
91355,CA,Los Angeles County,794258.9184367071
93711,CA,Fresno County,514571.1934329464
94520,CA,Contra Costa County,609862.0507077345
91763,CA,San Bernardino County,663531.5929413796
92807,CA,Orange County,1156071.265654012
92675,CA,Orange County,1344627.665543831
91321,CA,Los Angeles County,700169.1853789752
95928,CA,Butte County,463449.34777585085
94928,CA,Sonoma County,715625.6044554076
90802,CA,Los Angeles County,494564.3892869621
95301,CA,Merced County,422841.7584781742
93612,CA,Fresno County,377684.7902457691
94621,CA,Alameda County,450082.8447776243
92240,CA,Riverside County,378106.3405854536
91776,CA,Los Angeles County,990121.2983586924
94954,CA,Sonoma County,838005.0284113568
93314,CA,Kern County,576260.919225695
94578,CA,Alameda County,789506.2897272162
93021,CA,Ventura County,945379.7781353988
92394,CA,San Bernardino County,430981.0630555462
93012,CA,Ventura County,921694.0900535616
90505,CA,Los Angeles County,1434961.2713040684
93305,CA,Kern County,267806.67650652933
92054,CA,San Diego County,1119545.2983094754
92337,CA,San Bernardino County,613484.8682562269
95401,CA,Sonoma County,655806.308601394
95821,CA,Sacramento County,498471.74030705943
95993,CA,Sutter County,478277.8783654103
90804,CA,Los Angeles County,700264.6107359175
90012,CA,Los Angeles County,602362.4474063222
95382,CA,Stanislaus County,515410.4956454571
92679,CA,Orange County,1605682.0189311076
90036,CA,Los Angeles County,1867462.566632517
93705,CA,Fresno County,319522.5961846718
94606,CA,Alameda County,612658.6397793625
93245,CA,Kings County,384366.9487310459
92037,CA,San Diego County,2380586.518054353
92065,CA,San Diego County,816503.6210033669
92831,CA,Orange County,1061125.81283711
90031,CA,Los Angeles County,814520.7026749732
91362,CA,Ventura County,1209266.2133496592
91711,CA,Los Angeles County,1036973.0900691767
93657,CA,Fresno County,412181.1664387612
94590,CA,Solano County,458003.1110037637
94061,CA,San Mateo County,1991109.6875650976
92649,CA,Orange County,1383582.426883079
94534,CA,Solano County,700548.6184218094
92253,CA,Riverside County,748659.0191807192
95667,CA,El Dorado County,533693.3187353184
92508,CA,Riverside County,768172.2516164867
92672,CA,Orange County,1726575.6968356315
92583,CA,Riverside County,452128.17962477537
92841,CA,Orange County,1026452.295547084
92131,CA,San Diego County,1513581.803354813
95820,CA,Sacramento County,405119.9894849597
94124,CA,San Francisco County,917214.78967372
92083,CA,San Diego County,792703.2810607143
91104,CA,Los Angeles County,1236091.9946371394
94952,CA,Sonoma County,1075323.9502677824
90277,CA,Los Angeles County,1660190.2228841418
95901,CA,Yuba County,391861.6709354804
94555,CA,Alameda County,1534962.450252122
94040,CA,Santa Clara County,2914658.4709702465
92058,CA,San Diego County,782831.3956723982
91205,CA,Los Angeles County,875242.8941532454
91001,CA,Los Angeles County,1113772.4402376935
95121,CA,Santa Clara County,1273742.5925538335
90020,CA,Los Angeles County,687696.7248023074
92869,CA,Orange County,1211494.7970451275
95825,CA,Sacramento County,404387.4063266208
93405,CA,San Luis Obispo County,1095473.6068645867
95476,CA,Sonoma County,965638.1214603004
94044,CA,San Mateo County,1277292.9512904985
95062,CA,Santa Cruz County,1329039.7133709977
91325,CA,Los Angeles County,1042130.2140162408
92231,CA,Imperial County,392820.3290869038
95128,CA,Santa Clara County,1495786.9032826542
95340,CA,Merced County,405366.8639686635
93060,CA,Ventura County,714119.4526934711
95842,CA,Sacramento County,423641.75012441754
92543,CA,Riverside County,382501.69541521947
93710,CA,Fresno County,400489.0478979258
90266,CA,Los Angeles County,3260372.905078262
90621,CA,Orange County,898353.0869018431
90049,CA,Los Angeles County,3032602.3732106052
91752,CA,Riverside County,827390.7287367997
91601,CA,Los Angeles County,921674.5704602016
91326,CA,Los Angeles County,1241296.0735808518
92139,CA,San Diego County,738887.6516612131
92551,CA,Riverside County,533530.9957477603
91780,CA,Los Angeles County,1107047.5767115385
95660,CA,Sacramento County,387340.5596269519
95341,CA,Merced County,363512.9230746473
94523,CA,Contra Costa County,1000456.8702401728
92660,CA,Orange County,3300580.570995785
92311,CA,San Bernardino County,264605.58462075633
94404,CA,San Mateo County,1763096.8239800497
90062,CA,Los Angeles County,698204.2751559807
92301,CA,San Bernardino County,397236.9980134142
94063,CA,San Mateo County,1296910.9080303758
90260,CA,Los Angeles County,817315.1949832236
91340,CA,Los Angeles County,740174.4482626856
96002,CA,Shasta County,380306.8320976104
91722,CA,Los Angeles County,766712.7279685905
94401,CA,San Mateo County,1223225.5088928954
94114,CA,San Francisco County,1911560.9726896803
92123,CA,San Diego County,970207.6359787164
92706,CA,Orange County,1037579.0284491924
95356,CA,Stanislaus County,525876.8937483514
91006,CA,Los Angeles County,1409179.2243307326
91915,CA,San Diego County,867741.1993252203
94545,CA,Alameda County,908318.197369498
90222,CA,Los Angeles County,620595.8539288269
96001,CA,Shasta County,386771.521414227
91754,CA,Los Angeles County,940589.4259773606
91768,CA,Los Angeles County,674607.1574029718
91941,CA,San Diego County,1036419.980162572
90230,CA,Los Angeles County,1098761.019979616
92595,CA,Riverside County,656370.2208023699
95482,CA,Mendocino County,486445.04780313914
93703,CA,Fresno County,297382.3527854237
95632,CA,Sacramento County,536189.3967545308
90008,CA,Los Angeles County,1078515.997195123
91773,CA,Los Angeles County,922577.5147004132
93955,CA,Monterey County,800567.1688123281
95361,CA,Stanislaus County,559641.892896791
90504,CA,Los Angeles County,1006801.6730124163
95126,CA,Santa Clara County,1218762.5778366446
95348,CA,Merced County,416630.44476911816
92373,CA,San Bernardino County,725570.9848521404
91107,CA,Los Angeles County,1339562.2510414696
91750,CA,Los Angeles County,952848.6366679802
91007,CA,Los Angeles County,1439479.8686131523
95377,CA,San Joaquin County,773240.1172761089
92103,CA,San Diego County,1091170.6991523397
94102,CA,San Francisco County,733210.2516761351
92220,CA,Riverside County,414306.3650578474
90601,CA,Los Angeles County,864924.9058362012
94801,CA,Contra Costa County,520108.1202521871
91791,CA,Los Angeles County,926307.94857088
90712,CA,Los Angeles County,880505.1181996493
94115,CA,San Francisco County,1460368.5188586991
95118,CA,Santa Clara County,1703613.2586419266
92883,CA,Riverside County,761820.962563489
90807,CA,Los Angeles County,969488.5102618722
93420,CA,San Luis Obispo County,1043166.7067959304
95661,CA,Placer County,698443.0949654344
93555,CA,Kern County,268088.2902488425
94608,CA,Alameda County,616888.6829022
95358,CA,Stanislaus County,435491.9025509628
94941,CA,Marin County,2139388.198394136
90029,CA,Los Angeles County,978884.3112063708
93618,CA,Tulare County,358152.7361805667
95219,CA,San Joaquin County,557447.2265334515
95662,CA,Sacramento County,562198.6169697797
94602,CA,Alameda County,999149.7758129272
91505,CA,Los Angeles County,1135306.8517929672
94103,CA,San Francisco County,802666.1182720243
92881,CA,Riverside County,868067.9650844132
91351,CA,Los Angeles County,720797.5950640962
93654,CA,Fresno County,386371.5590061612
92203,CA,Riverside County,564801.870979995
95131,CA,Santa Clara County,1375243.817337759
92612,CA,Orange County,1215838.3795485257
95834,CA,Sacramento County,528369.7604098798
94610,CA,Alameda County,1206898.3674124386
93001,CA,Ventura County,987678.8419277524
94603,CA,Alameda County,510220.8608460366
90606,CA,Los Angeles County,777067.943475618
92260,CA,Riverside County,588170.5283138284
91214,CA,Los Angeles County,1259444.9644889042
91423,CA,Los Angeles County,1469373.0372532953
93940,CA,Monterey County,1154285.2529417693
95242,CA,San Joaquin County,576497.5947828492
91607,CA,Los Angeles County,1256766.2459616044
96080,CA,Tehama County,319150.21033887495
92602,CA,Orange County,2058967.2518102229
93422,CA,San Luis Obispo County,785245.9379804336
95070,CA,Santa Clara County,4196446.062702202
91724,CA,Los Angeles County,884745.0499153227
91206,CA,Los Angeles County,1138872.062162439
91604,CA,Los Angeles County,1725108.21214142
94526,CA,Contra Costa County,1795866.31420876
90803,CA,Los Angeles County,1338652.7349414297
93101,CA,Santa Barbara County,1472563.0988608424
91792,CA,Los Angeles County,819582.6576508322
94131,CA,San Francisco County,1675511.8294751726
91324,CA,Los Angeles County,943306.2827516248
92673,CA,Orange County,1755824.6335146502
95682,CA,El Dorado County,668591.6807481799
95961,CA,Yuba County,450771.8969339885
92604,CA,Orange County,1416429.3264221568
95824,CA,Sacramento County,367512.5194969381
92124,CA,San Diego County,1080015.5265130752
91303,CA,Los Angeles County,752562.1669761335
91731,CA,Los Angeles County,774852.4440492044
90005,CA,Los Angeles County,894444.8325248426
93561,CA,Kern County,424753.85295263346
94580,CA,Alameda County,821284.0328474431
92405,CA,San Bernardino County,456607.23584734416
94132,CA,San Francisco County,1361249.973715855
94589,CA,Solano County,505196.4305672299
95204,CA,San Joaquin County,382555.13599489786
94043,CA,Santa Clara County,1599616.0086669724
90061,CA,Los Angeles County,639490.7664406558
93662,CA,Fresno County,363557.21192655974
92110,CA,San Diego County,1018698.577231972
94070,CA,San Mateo County,2474297.5450976123
92107,CA,San Diego County,1517666.817460293
92116,CA,San Diego County,1012603.6033129952
93725,CA,Fresno County,357299.91103807604
90028,CA,Los Angeles County,868060.8515932577
91356,CA,Los Angeles County,1370008.6929511514
91354,CA,Los Angeles County,846956.576180874
94598,CA,Contra Costa County,1421400.844284336
92316,CA,San Bernardino County,567295.6684537205
93105,CA,Santa Barbara County,1918227.6696201088
92227,CA,Imperial County,362887.2539319119
95829,CA,Sacramento County,595664.1919086648
94107,CA,San Francisco County,1002906.7161619734
92653,CA,Orange County,1287687.5325903308
94062,CA,San Mateo County,2713312.5813094643
91803,CA,Los Angeles County,964016.058828305
93401,CA,San Luis Obispo County,1106136.0495850537
95966,CA,Butte County,311951.93578295945
95212,CA,San Joaquin County,549283.5804377556
95134,CA,Santa Clara County,1097587.468343004
90041,CA,Los Angeles County,1293432.4977848905
92173,CA,San Diego County,693599.9224543237
96150,CA,El Dorado County,665904.7136895115
91316,CA,Los Angeles County,978658.9616180948
90713,CA,Los Angeles County,911968.900298254
94549,CA,Contra Costa County,1962151.9881459747
90302,CA,Los Angeles County,693376.0891082514
95032,CA,Santa Clara County,2648628.6095591527
92008,CA,San Diego County,1200791.8199866363
95603,CA,Placer County,619304.8402331318
94903,CA,Marin County,1269125.9695730817
93280,CA,Kern County,316068.24088088225
95117,CA,Santa Clara County,1822713.5812778997
94002,CA,San Mateo County,2364910.8397170436
95815,CA,Sacramento County,356920.60094258137
93004,CA,Ventura County,872455.2680875612
92081,CA,San Diego County,932732.7651283764
90039,CA,Los Angeles County,1379946.4095703575
90710,CA,Los Angeles County,849937.3235684171
95472,CA,Sonoma County,1102116.211385591
92262,CA,Riverside County,649057.7245019847
91746,CA,Los Angeles County,763399.0662399795
95133,CA,Santa Clara County,1164669.9020564586
92120,CA,San Diego County,1055271.815738419
93901,CA,Monterey County,781195.2927628421
92835,CA,Orange County,1315861.377282207
94585,CA,Solano County,533177.0237732973
92614,CA,Orange County,1247338.4374992086
94306,CA,Santa Clara County,3450948.85921043
94704,CA,Alameda County,1151180.3370709028
94607,CA,Alameda County,529896.7375491132
94518,CA,Contra Costa County,866281.0787057262
90405,CA,Los Angeles County,1946823.3275341932
95363,CA,Stanislaus County,510874.33097091527
90304,CA,Los Angeles County,754002.5879141743
91945,CA,San Diego County,763223.2208931908
90038,CA,Los Angeles County,1049685.3955435564
