zcta,median_household_income,poverty_rate,unemployment_rate
02919,91775.0,6.8,58.6
02920,80717.0,7.3,56.4
02921,147204.0,2.7,67.7
03031,153125.0,2.5,62.4
03032,153253.0,1.3,70.5
03033,171046.0,0.0,75.9
03034,131350.0,1.4,64.0
03036,142212.0,1.5,69.2
03037,130371.0,3.6,59.4
03038,108322.0,1.5,69.2
03042,104220.0,4.0,64.2
03043,104063.0,6.4,61.7
03044,120781.0,3.7,71.5
03045,119205.0,1.8,68.1
03046,124348.0,1.2,69.9
03047,103603.0,2.2,61.6
03048,90451.0,4.4,63.4
03049,168883.0,0.7,67.4
03051,124213.0,2.4,66.5
03052,162036.0,1.1,71.2
03053,134038.0,1.8,69.8
03054,127303.0,1.6,72.5
03055,97768.0,1.9,69.7
03057,156250.0,3.4,63.5
03060,79855.0,10.0,66.9
03062,107540.0,1.2,64.5
03063,107630.0,3.8,73.3
03064,96393.0,6.6,69.7
03070,154000.0,3.4,70.9
03071,110507.0,0.5,77.4
03076,135956.0,2.0,67.3
03077,104597.0,2.8,65.2
03079,110490.0,3.0,70.0
03082,120313.0,1.8,59.8
03084,94107.0,1.2,60.7
03086,113750.0,0.0,71.2
03087,189583.0,1.1,60.1
03101,84434.0,16.2,68.9
03102,74327.0,5.8,68.5
03103,73540.0,13.0,70.8
03104,88897.0,7.2,68.3
03106,118442.0,1.8,67.1
03109,108144.0,0.0,69.3
03110,167418.0,1.5,63.8
03215,105625.0,5.9,44.2
03216,88311.0,6.5,58.3
03217,54607.0,16.1,58.1
03218,112500.0,11.7,71.9
03220,68242.0,10.0,62.3
03221,109803.0,4.5,65.8
03222,81587.0,7.6,55.9
03223,118534.0,8.2,64.8
03224,138125.0,2.9,63.8
03225,111660.0,2.0,56.5
03226,107500.0,0.6,59.6
03227,146917.0,4.7,56.4
03229,137386.0,0.0,66.3
03230,71685.0,5.9,54.1
03231,,0.0,60.7
03233,120156.0,0.0,45.5
03234,97941.0,1.2,63.8
03235,71775.0,1.5,59.4
03237,111359.0,4.3,71.8
03238,47067.0,0.0,40.6
03240,81563.0,3.5,59.7
03241,91375.0,7.3,49.7
03242,95206.0,3.4,63.4
03243,83333.0,4.5,56.9
03244,86375.0,4.3,63.2
03245,107863.0,1.7,58.8
03246,73241.0,8.7,61.6
03249,116635.0,5.8,59.0
03251,70625.0,4.5,57.2
03253,84719.0,5.5,50.1
03254,106440.0,1.4,55.7
03255,117045.0,3.1,59.2
03256,87917.0,7.4,56.2
03257,107000.0,0.0,43.7
03258,108906.0,3.7,66.4
03259,84872.0,0.0,45.8
03260,117000.0,2.6,72.6
03261,129375.0,3.1,62.1
03262,85667.0,3.3,60.8
03263,74318.0,11.0,63.0
03264,76892.0,10.4,59.7
03266,76071.0,7.5,54.8
03268,111818.0,1.8,62.4
03269,107083.0,3.0,63.4
03273,187979.0,0.0,72.9
03275,82910.0,8.7,64.8
03276,82425.0,7.6,64.2
03278,94783.0,4.3,63.7
03279,70313.0,15.9,63.3
03280,90096.0,4.2,57.0
03281,118271.0,0.0,73.3
03282,98333.0,10.3,66.1
03284,113158.0,2.1,62.7
03285,90022.0,6.3,70.9
03287,117759.0,0.5,68.6
03290,122201.0,0.0,70.6
03291,,,
03293,86250.0,0.0,47.6
03301,86840.0,4.5,58.3
03303,80456.0,8.1,63.1
03304,172857.0,1.6,67.3
03307,107226.0,2.9,60.1
03431,79541.0,2.9,60.6
03440,88889.0,6.0,63.7
03441,53816.0,40.7,55.9
03442,83875.0,1.6,62.7
03443,,0.0,55.2
03444,104773.0,8.5,60.8
03445,106667.0,1.5,65.2
03446,85484.0,3.9,65.0
03447,100735.0,6.5,60.3
03448,80417.0,5.0,64.8
03449,92708.0,1.0,60.3
03450,103036.0,1.1,55.7
03451,69191.0,0.9,51.5
03452,92330.0,0.0,65.0
03455,69395.0,9.4,63.1
03456,110455.0,6.2,53.1
03457,100625.0,1.3,59.4
03458,98684.0,6.4,60.0
03461,102679.0,7.2,58.8
03462,115313.0,0.0,48.8
03464,93625.0,0.8,66.2
03465,88871.0,2.5,71.5
03466,83281.0,10.3,67.4
03467,104444.0,10.4,56.3
03470,79028.0,6.7,60.0
03561,56746.0,6.8,59.2
03570,45180.0,14.9,42.1
03574,81250.0,5.5,53.4
03575,,40.0,27.3
03576,52682.0,5.4,51.0
03579,61000.0,5.5,41.0
03580,91250.0,5.1,47.8
03581,64127.0,3.3,54.0
