zip_code,zcta
72157,72157.0
72401,72401.0
72402,72401.0
72403,72401.0
72404,72404.0
72411,72411.0
72414,72414.0
72416,72416.0
72417,72417.0
72419,72419.0
72421,72421.0
72427,72427.0
72437,72437.0
72447,72447.0
72467,72467.0
72921,72921.0
72932,72932.0
72934,72934.0
72935,72935.0
72946,72946.0
72947,72947.0
72948,72948.0
72952,72952.0
72955,72955.0
72956,72956.0
72957,72956.0
72301,72301.0
72303,72301.0
72325,72325.0
72327,72327.0
72331,72331.0
72332,72332.0
72339,72339.0
72364,72364.0
72376,72376.0
72384,72384.0
72324,72324.0
72347,72347.0
72373,72373.0
72387,72396.0
72396,72396.0
71725,71725.0
71742,71742.0
71748,71742.0
71763,71763.0
71630,71630.0
71639,71639.0
71654,71654.0
71662,71662.0
71666,71666.0
71670,71670.0
71674,71674.0
72379,72379.0
71655,71655.0
71656,71655.0
71657,71655.0
71675,71675.0
71677,71677.0
72032,72032.0
72033,72032.0
72034,72034.0
72035,72035.0
72039,72039.0
72047,72047.0
72058,72058.0
72061,72061.0
72106,72106.0
72111,72111.0
72173,72173.0
72181,72181.0
72820,72821.0
72821,72821.0
72928,72928.0
72930,72930.0
72933,72933.0
72949,72949.0
72515,72515.0
72520,72520.0
72531,72531.0
72538,72538.0
72539,72539.0
72554,72554.0
72576,72576.0
72578,72578.0
72583,72583.0
71901,71901.0
71902,71913.0
71903,71913.0
71909,71909.0
71910,71909.0
71913,71913.0
71914,71901.0
71949,71949.0
71956,71956.0
71964,71964.0
71968,71968.0
72087,72087.0
72057,72057.0
72084,72084.0
72128,72128.0
72129,72129.0
72150,72150.0
72412,72412.0
72425,72425.0
72436,72436.0
72443,72443.0
72450,72450.0
72451,72450.0
72474,72450.0
71801,71801.0
71802,71801.0
71825,71825.0
71831,71862.0
71838,71838.0
71847,71847.0
71855,71855.0
71862,71862.0
71929,71929.0
71933,71933.0
71941,71941.0
71942,71923.0
72019,72019.0
72104,72104.0
72105,72104.0
71833,71833.0
71851,71851.0
71852,71852.0
71859,71859.0
71971,71971.0
72165,72165.0
72501,72501.0
72503,72501.0
72522,72522.0
72524,72524.0
72526,72526.0
72527,72527.0
72534,72534.0
72550,72550.0
72553,72553.0
72562,72562.0
72564,72564.0
72568,72568.0
72571,72571.0
72575,72501.0
72579,72579.0
72512,72512.0
72517,72517.0
72519,72519.0
72528,72528.0
72536,72536.0
72540,72540.0
72556,72556.0
72561,72561.0
72565,72565.0
72566,72566.0
72573,72573.0
72584,72584.0
72585,72585.0
72587,72587.0
72005,72005.0
72014,72014.0
72043,72112.0
72075,72112.0
72112,72112.0
72169,72169.0
72431,72431.0
72471,72471.0
72473,72473.0
71601,71601.0
71602,71602.0
71603,71603.0
71611,71602.0
71612,71602.0
71613,71603.0
71659,71659.0
72004,72004.0
72079,72079.0
72132,72132.0
72133,72160.0
72152,72152.0
72168,72168.0
72175,72175.0
72182,72168.0
72830,72830.0
72832,72832.0
72839,72839.0
72840,72840.0
72845,72845.0
72846,72846.0
72852,72852.0
72854,72854.0
71826,71826.0
71827,71827.0
71839,71839.0
71845,71845.0
71860,71860.0
72410,72410.0
72415,72415.0
72433,72433.0
72434,72434.0
72440,72440.0
72445,72445.0
72457,72457.0
72458,72458.0
72459,72459.0
72465,72476.0
72466,72466.0
72469,72469.0
72476,72476.0
72572,72572.0
72311,72311.0
72320,72320.0
72341,72341.0
72352,72360.0
72360,72360.0
72368,72368.0
71643,71643.0
71644,71644.0
71667,71667.0
71678,71643.0
71820,71820.0
71822,71822.0
71836,71836.0
71853,71853.0
71865,71865.0
71866,71866.0
72826,72826.0
72835,72835.0
72851,72851.0
72855,72855.0
72863,72863.0
72865,72865.0
72927,72927.0
72943,72943.0
72951,72951.0
72007,72007.0
72023,72023.0
72024,72024.0
72037,72037.0
72046,72046.0
72072,72072.0
72083,72083.0
72086,72086.0
72176,72176.0
72721,72721.0
72738,72738.0
72740,72740.0
72742,72742.0
72752,72752.0
72760,72760.0
72773,72773.0
72776,72776.0
72619,72619.0
72634,72634.0
